relic_name,tier,relic_price,item_bronze1,price_bronze1,item_bronze2,price_bronze2,item_bronze3,price_bronze3,item_argent1,price_argent1,item_argent2,price_argent2,item_gold1,price_gold1,ev_intact,ev_radiant
Axi N4 Relic,Axi,19.5,Cernos Prime Upper Limb,8.0,Nekros Prime Chassis Blueprint,9.5,Galatine Prime Blade,6.1,Hydroid Prime Neuroptics Blueprint,14.0,Fragor Prime Handle,9.55,Nikana Prime Hilt,40.25,9.37,12.67
Axi N5 Relic,Axi,16.0,Euphona Prime Blueprint,4.0,Oberon Prime Chassis Blueprint,9.0,Lex Prime Barrel,3.5,Nekros Prime Neuroptics Blueprint,21.0,Helios Prime Systems,11.5,Nami Skyla Prime Blade,32.5,8.4,12.5
Axi N6 Relic,Axi,53.6,Nikana Prime Blueprint,6.5,Braton Prime Barrel,5.0,Lex Prime Receiver,3.35,Saryn Prime Blueprint,18.5,Braton Prime Receiver,4.0,Nikana Prime Hilt,40.25,7.04,11.0
Axi N7 Relic,Axi,10.0,Baza Prime Receiver,5.5,Astilla Prime Receiver,7.5,Octavia Prime Systems Blueprint,8.5,Dethcube Prime Carapace,6.5,2X Forma Blueprint,,Nezha Prime Chassis Blueprint,33.5,6.83,8.23
Axi N8 Relic,Axi,7.0,Forma Blueprint,,Braton Prime Receiver,4.0,Bronco Prime Blueprint,3.0,Pandero Prime Barrel,5.3,Strun Prime Barrel,7.5,Nezha Prime Neuroptics Blueprint,23.0,3.64,6.03
Axi N9 Relic,Axi,9.4,Pandero Prime Blueprint,4.75,Forma Blueprint,,Bronco Prime Blueprint,3.0,Phantasma Prime Blueprint,4.8,Astilla Prime Blueprint,6.6,Nidus Prime Neuroptics Blueprint,36.5,3.95,7.22
Axi O1 Relic,Axi,13.1,Euphona Prime Blueprint,4.0,Paris Prime Blueprint,2.9,Forma Blueprint,,Akstiletto Prime Receiver,15.5,Galatine Prime Handle,5.65,Oberon Prime Systems Blueprint,17.5,4.42,7.13
Axi O2 Relic,Axi,12.8,Galatine Prime Blade,6.1,Paris Prime String,3.4,Fang Prime Blade,2.5,Tiberon Prime Blueprint,6.8,Helios Prime Systems,11.5,Oberon Prime Systems Blueprint,17.5,5.4,7.41
Axi O3 Relic,Axi,6.0,Destreza Prime Handle,11.0,Burston Prime Stock,2.0,Forma Blueprint,,Venka Prime Blueprint,5.3,Zephyr Prime Chassis Blueprint,6.0,Oberon Prime Systems Blueprint,17.5,4.89,6.18
Axi O4 Relic,Axi,8.9,Destreza Prime Handle,11.0,Zephyr Prime Neuroptics Blueprint,7.5,Lex Prime Blueprint,2.6,Gram Prime Blueprint,8.5,Tiberon Prime Blueprint,6.8,Oberon Prime Systems Blueprint,17.5,7.38,8.33
Axi O5 Relic,Axi,7.8,Lex Prime Receiver,3.35,Nezha Prime Systems Blueprint,6.0,Panthera Prime Blueprint,5.5,Inaros Prime Chassis Blueprint,4.0,Fang Prime Handle,2.0,Octavia Prime Blueprint,46.0,5.34,8.28
Axi O6 Relic,Axi,4.0,Forma Blueprint,,Epitaph Prime Blueprint,5.5,Braton Prime Blueprint,3.0,Zylok Prime Receiver,4.1,Acceltra Prime Receiver,4.0,Okina Prime Blueprint,19.0,3.42,4.94
Axi P1 Relic,Axi,26.4,Forma Blueprint,,Equinox Prime Chassis Blueprint,6.0,Akjagara Prime Blueprint,3.7,Ninkondi Prime Chain,5.0,Kogake Prime Blueprint,7.05,Pyrana Prime Blueprint,35.0,4.48,7.53
Axi P10 Relic,Axi,8.3,Fang Prime Blade,2.5,Forma Blueprint,,Caliban Prime Chassis Blueprint,3.0,Athodai Prime Receiver,51.0,Lavos Prime Neuroptics Blueprint,3.0,Perigale Prime Barrel,12.5,7.58,12.97
Axi P2 Relic,Axi,30.3,Dethcube Prime Systems,7.0,Bronco Prime Blueprint,3.0,Tiberon Prime Receiver,8.2,Destreza Prime Blueprint,7.0,Rubico Prime Stock,7.0,Pyrana Prime Blueprint,35.0,6.85,9.33
Axi P3 Relic,Axi,10.5,Forma Blueprint,,Bronco Prime Blueprint,3.0,Zhuge Prime Grip,6.0,Wukong Prime Systems Blueprint,15.0,Burston Prime Barrel,4.0,Pyrana Prime Blueprint,35.0,5.07,8.8
Axi P4 Relic,Axi,17.9,Pandero Prime Blueprint,4.75,Knell Prime Blueprint,4.0,Fang Prime Handle,2.0,Strun Prime Barrel,7.5,Corinth Prime Receiver,7.0,Pangolin Prime Blueprint,14.35,4.6,6.13
Axi P5 Relic,Axi,8.6,Octavia Prime Neuroptics Blueprint,5.0,Vasto Prime Barrel,9.0,Forma Blueprint,,Tenora Prime Stock,9.8,Vasto Prime Blueprint,7.0,Pandero Prime Receiver,25.0,5.89,8.19
Axi P6 Relic,Axi,25.0,Hystrix Prime Barrel,7.0,Orthos Prime Handle,3.25,Hildryn Prime Systems Blueprint,6.0,2X Forma Blueprint,,Masseter Prime Blueprint,4.0,Phantasma Prime Stock,22.5,5.01,5.76
Axi P7 Relic,Axi,9.2,Baruuk Prime Systems Blueprint,8.0,Fang Prime Blade,2.5,Tatsu Prime Blueprint,4.1,Braton Prime Stock,1.5,2X Forma Blueprint,,Protea Prime Chassis Blueprint,11.5,4.09,3.88
Axi P8 Relic,Axi,2.0,Dual Zoren Prime Handle,2.0,Velox Prime Receiver,5.0,Fang Prime Blueprint,1.75,Epitaph Prime Barrel,3.5,2X Forma Blueprint,,Protea Prime Chassis Blueprint,11.5,2.83,3.31
Axi P9 Relic,Axi,2.0,Orthos Prime Handle,3.25,Gunsen Prime Blueprint,4.15,Trumna Prime Blueprint,1.5,2X Forma Blueprint,,Gauss Prime Neuroptics Blueprint,8.5,Protea Prime Systems Blueprint,14.0,3.47,4.58
Axi R1 Relic,Axi,10.6,Boltor Prime Stock,8.5,Mag Prime Systems Blueprint,17.0,Boar Prime Receiver,11.5,Dakra Prime Blueprint,8.65,Ankyros Prime Blade,8.5,Rhino Prime Blueprint,19.0,11.64,11.5
Axi R2 Relic,Axi,12.2,Lex Prime Receiver,3.35,Forma Blueprint,,Destreza Prime Handle,11.0,Mirage Prime Systems Blueprint,18.5,Chroma Prime Chassis Blueprint,8.5,Redeemer Prime Handle,38.5,7.37,11.64
Axi R3 Relic,Axi,11.2,Stradavar Prime Stock,6.5,Fang Prime Blade,2.5,Zephyr Prime Neuroptics Blueprint,7.5,Wukong Prime Systems Blueprint,15.0,Akjagara Prime Link,7.6,Redeemer Prime Handle,38.5,7.44,11.12
Axi R4 Relic,Axi,12.1,Boltor Prime Stock,8.5,Burston Prime Blueprint,2.95,Forma Blueprint,,Ember Prime Systems Blueprint,9.0,Glaive Prime Disc,9.4,Rhino Prime Blueprint,19.0,5.3,7.49
Axi S1 Relic,Axi,14.35,Forma Blueprint,,Bronco Prime Receiver,3.6,Bronco Prime Blueprint,3.0,Akbronco Prime Link,3.5,Trinity Prime Blueprint,10.0,Scindo Prime Blade,10.5,3.37,4.85
Axi S10 Relic,Axi,10.4,Nagantaka Prime Barrel,6.0,Guandao Prime Blade,8.5,Forma Blueprint,,Bronco Prime Barrel,3.0,Panthera Prime Stock,8.7,Scourge Prime Barrel,35.5,5.67,8.31
Axi S11 Relic,Axi,15.8,Akbronco Prime Blueprint,2.7,Panthera Prime Blueprint,5.5,Fang Prime Handle,2.0,Octavia Prime Chassis Blueprint,11.5,Paris Prime Upper Limb,2.2,Scourge Prime Blueprint,16.5,4.42,6.09
Axi S12 Relic,Axi,9.4,Nezha Prime Systems Blueprint,6.0,Lex Prime Receiver,3.35,Paris Prime Lower Limb,2.15,Tenora Prime Stock,9.8,Harrow Prime Neuroptics Blueprint,8.5,Scourge Prime Blueprint,16.5,5.26,7.23
Axi S13 Relic,Axi,,Aksomati Prime Receiver,7.0,Forma Blueprint,,Braton Prime Blueprint,3.0,Baza Prime Blueprint,9.5,Ivara Prime Blueprint,8.5,Sybaris Prime Barrel,37.5,5.26,9.02
Axi S14 Relic,Axi,8.0,Lex Prime Blueprint,2.6,Magnus Prime Blueprint,7.5,Nagantaka Prime Barrel,6.0,Gara Prime Neuroptics Blueprint,7.0,2X Forma Blueprint,,Scourge Prime Barrel,35.5,5.56,7.63
Axi S15 Relic,Axi,13.0,Harrow Prime Chassis Blueprint,10.0,Lex Prime Receiver,3.35,Forma Blueprint,,Knell Prime Receiver,3.5,Vasto Prime Blueprint,7.0,Scourge Prime Blueprint,16.5,4.87,5.98
Axi S16 Relic,Axi,22.5,Larkspur Prime Blueprint,6.0,Akbronco Prime Blueprint,2.7,Lex Prime Receiver,3.35,Nautilus Prime Systems,3.0,Protea Prime Neuroptics Blueprint,3.5,Shade Prime Carapace,30.0,4.37,6.31
Axi S17 Relic,Axi,4.0,Paris Prime Blueprint,2.9,Hildryn Prime Systems Blueprint,6.0,Grendel Prime Neuroptics Blueprint,5.5,Braton Prime Receiver,4.0,2X Forma Blueprint,,Sevagoth Prime Chassis Blueprint,20.0,4.49,5.2
Axi S18 Relic,Axi,4.4,Forma Blueprint,,Paris Prime String,3.4,Cedo Prime Stock,3.5,Vadarya Prime Receiver,2.0,Velox Prime Blueprint,2.8,Sevagoth Prime Chassis Blueprint,20.0,2.68,4.11
Axi S19 Relic,Axi,30.0,Hildryn Prime Systems Blueprint,6.0,Burston Prime Blueprint,2.95,Forma Blueprint,,Gunsen Prime Handle,6.0,Fulmin Prime Stock,5.0,Shade Prime Carapace,30.0,4.08,6.69
Axi S2 Relic,Axi,11.2,Wyrm Prime Blueprint,13.7,Loki Prime Blueprint,8.5,Latron Prime Receiver,16.3,2X Forma Blueprint,,Ember Prime Systems Blueprint,9.0,Sicarus Prime Receiver,41.0,11.56,12.32
Axi S20 Relic,Axi,2.47,Paris Prime String,3.4,Forma Blueprint,,Dual Zoren Prime Handle,2.0,Orthos Prime Blueprint,4.3,Xaku Prime Systems Blueprint,8.0,Sarofang Prime Blade,15.0,3.02,4.86
Axi S3 Relic,Axi,7.92,Rhino Prime Systems Blueprint,8.5,Boltor Prime Stock,8.5,Hikou Prime Stars,7.0,Nyx Prime Systems Blueprint,8.0,Ankyros Prime Blade,8.5,Scindo Prime Blade,10.5,8.1,8.35
Axi S4 Relic,Axi,49.2,Mag Prime Systems Blueprint,17.0,Boar Prime Receiver,11.5,Forma Blueprint,,Nova Prime Blueprint,10.0,Dakra Prime Blade,14.75,Soma Prime Stock,23.5,10.41,12.05
Axi S5 Relic,Axi,8.35,Saryn Prime Systems Blueprint,6.5,Venka Prime Blades,8.5,Cernos Prime Grip,8.6,Nikana Prime Blade,14.0,2X Forma Blueprint,,Spira Prime Pouch,35.0,8.22,10.23
Axi S6 Relic,Axi,6.0,Nekros Prime Chassis Blueprint,9.5,Burston Prime Blueprint,2.95,Forma Blueprint,,Tigris Prime Barrel,5.0,Silva & Aegis Prime Blade,7.3,Sybaris Prime Barrel,37.5,5.26,8.29
Axi S7 Relic,Axi,6.0,Forma Blueprint,,Nova Prime Systems Blueprint,11.5,Vasto Prime Barrel,9.0,Trinity Prime Chassis Blueprint,9.0,Kavasa Prime Kubrow Collar Blueprint,5.6,Soma Prime Stock,23.5,7.27,8.69
Axi S8 Relic,Axi,5.7,Cernos Prime Grip,8.6,Hikou Prime Blueprint,4.35,Forma Blueprint,,Venka Prime Blueprint,5.3,Nyx Prime Chassis Blueprint,5.0,Scindo Prime Blade,10.5,4.62,5.27
Axi S9 Relic,Axi,20.0,Guandao Prime Blade,8.5,Titania Prime Chassis Blueprint,11.5,Forma Blueprint,,Nezha Prime Blueprint,7.0,Gara Prime Chassis Blueprint,18.5,Scourge Prime Blueprint,16.5,8.2,10.08
Axi T1 Relic,Axi,49.4,Vectis Prime Barrel,19.7,Odonata Prime Harness Blueprint,6.5,Saryn Prime Systems Blueprint,6.5,Akstiletto Prime Receiver,15.5,Burston Prime Barrel,4.0,Tigris Prime Blueprint,25.5,10.94,11.9
Axi T10 Relic,Axi,5.0,Magnus Prime Blueprint,7.5,Corvas Prime Receiver,8.65,Bronco Prime Receiver,3.6,2X Forma Blueprint,,Orthos Prime Blade,3.5,Tatsu Prime Handle,24.5,5.88,6.44
Axi T11 Relic,Axi,6.4,Galatine Prime Blade,6.1,Burston Prime Blueprint,2.95,Forma Blueprint,,Harrow Prime Neuroptics Blueprint,8.5,Scourge Prime Handle,6.5,Tigris Prime Blueprint,25.5,4.45,7.06
Axi T12 Relic,Axi,12.4,Lex Prime Blueprint,2.6,Forma Blueprint,,Hildryn Prime Systems Blueprint,6.0,Gunsen Prime Handle,6.0,Protea Prime Neuroptics Blueprint,3.5,Trumna Prime Receiver,9.0,3.4,4.23
Axi T13 Relic,Axi,3.75,Burston Prime Stock,2.0,Xaku Prime Neuroptics Blueprint,2.0,Quassus Prime Handle,4.0,2X Forma Blueprint,,Gyre Prime Chassis Blueprint,8.5,Trumna Prime Barrel,10.0,3.16,4.03
Axi T2 Relic,Axi,6.4,Kogake Prime Boot,7.5,Stradavar Prime Stock,6.5,Mirage Prime Neuroptics Blueprint,7.0,2X Forma Blueprint,,Burston Prime Barrel,4.0,Tipedo Prime Handle,21.5,6.19,6.45
Axi T3 Relic,Axi,5.9,Limbo Prime Systems Blueprint,6.5,Paris Prime Lower Limb,2.15,Burston Prime Blueprint,2.95,Equinox Prime Blueprint,10.0,2X Forma Blueprint,,Tipedo Prime Handle,21.5,4.47,6.08
Axi T4 Relic,Axi,7.6,Corinth Prime Blueprint,3.8,Wukong Prime Neuroptics Blueprint,8.5,Braton Prime Blueprint,3.0,Zhuge Prime Blueprint,7.0,Equinox Prime Blueprint,10.0,Tipedo Prime Handle,21.5,6.18,8.1
Axi T5 Relic,Axi,18.5,Zhuge Prime String,8.0,Chroma Prime Blueprint,8.5,Rubico Prime Receiver,4.6,Gram Prime Blueprint,8.5,2X Forma Blueprint,,Titania Prime Systems Blueprint,44.0,7.16,9.62
Axi T6 Relic,Axi,8.8,Forma Blueprint,,Paris Prime String,3.4,Zakti Prime Receiver,5.5,Tenora Prime Stock,9.8,Wukong Prime Chassis Blueprint,11.5,Tekko Prime Blade,20.0,5.0,7.74
Axi T7 Relic,Axi,4.0,Inaros Prime Systems Blueprint,7.0,Bronco Prime Receiver,3.6,Forma Blueprint,,Pangolin Prime Blade,8.0,Corinth Prime Receiver,7.0,Tekko Prime Blade,20.0,4.73,6.77
Axi T8 Relic,Axi,6.0,Paris Prime Lower Limb,2.15,Strun Prime Receiver,7.5,Forma Blueprint,,Magnus Prime Receiver,6.5,Harrow Prime Neuroptics Blueprint,8.5,Tenora Prime Receiver,27.5,4.64,7.36
Axi T9 Relic,Axi,4.25,Ninkondi Prime Blueprint,8.0,Fang Prime Blade,2.5,Lex Prime Receiver,3.35,Equinox Prime Neuroptics Blueprint,8.5,Zhuge Prime Blueprint,7.0,Tipedo Prime Handle,21.5,5.64,7.56
Axi V1 Relic,Axi,21.1,Odonata Prime Systems Blueprint,8.5,Carrier Prime Systems,7.0,Dual Kamas Prime Blueprint,5.9,Volt Prime Neuroptics Blueprint,27.5,2X Forma Blueprint,,Vauban Prime Chassis Blueprint,20.0,8.85,11.07
Axi V10 Relic,Axi,9.9,Hikou Prime Stars,7.0,Cernos Prime String,8.5,Lex Prime Receiver,3.35,2X Forma Blueprint,,Valkyr Prime Systems Blueprint,15.0,Venka Prime Gauntlet,24.5,6.91,8.59
Axi V11 Relic,Axi,18.2,Pangolin Prime Handle,7.8,Burston Prime Receiver,3.5,Forma Blueprint,,Titania Prime Blueprint,11.0,Astilla Prime Stock,5.85,Volnus Prime Handle,25.5,5.23,7.8
Axi V12 Relic,Axi,2.95,Daikyu Prime String,5.5,Forma Blueprint,,Zylok Prime Barrel,4.65,Xaku Prime Chassis Blueprint,3.0,Gauss Prime Neuroptics Blueprint,8.5,Velox Prime Barrel,10.0,4.04,4.99
Axi V13 Relic,Axi,3.1,Nautilus Prime Carapace,7.0,Forma Blueprint,,Protea Prime Blueprint,2.0,Burston Prime Barrel,4.0,Gauss Prime Neuroptics Blueprint,8.5,Venato Prime Blade,10.0,3.85,5.0
Axi V14 Relic,Axi,5.5,Alternox Prime Receiver,6.0,Lex Prime Barrel,3.5,Fang Prime Blueprint,1.75,Kompressa Prime Receiver,5.5,2X Forma Blueprint,,Voruna Prime Blueprint,25.0,3.95,5.48
Axi V2 Relic,Axi,32.5,Hikou Prime Pouch,7.0,Trinity Prime Systems Blueprint,8.5,Mag Prime Neuroptics Blueprint,9.0,Braton Prime Receiver,4.0,Boar Prime Barrel,12.5,Vectis Prime Stock,23.5,8.49,9.73
Axi V3 Relic,Axi,20.0,Trinity Prime Neuroptics Blueprint,10.5,Vasto Prime Barrel,9.0,Trinity Prime Systems Blueprint,8.5,Orthos Prime Blueprint,4.3,Braton Prime Receiver,4.0,Vectis Prime Stock,23.5,8.48,8.68
Axi V4 Relic,Axi,62.0,Paris Prime Blueprint,2.9,Trinity Prime Systems Blueprint,8.5,Odonata Prime Harness Blueprint,6.5,Cernos Prime Blueprint,5.05,2X Forma Blueprint,,Vectis Prime Stock,23.5,5.56,6.34
Axi V5 Relic,Axi,10.9,Venka Prime Blades,8.5,Dual Kamas Prime Blueprint,5.9,Forma Blueprint,,Braton Prime Receiver,4.0,Tigris Prime Receiver,10.5,Valkyr Prime Chassis Blueprint,37.0,5.98,9.0
Axi V6 Relic,Axi,15.3,Braton Prime Blueprint,3.0,Ballistica Prime Lower Limb,9.0,Forma Blueprint,,Fang Prime Handle,2.0,Galatine Prime Handle,5.65,Valkyr Prime Chassis Blueprint,37.0,4.62,7.23
Axi V7 Relic,Axi,18.0,Nami Skyla Prime Blueprint,8.25,Lex Prime Barrel,3.5,Valkyr Prime Blueprint,7.0,Kogake Prime Blueprint,7.05,Silva & Aegis Prime Blueprint,8.1,Venka Prime Gauntlet,24.5,6.91,8.61
Axi V8 Relic,Axi,7.2,Odonata Prime Systems Blueprint,8.5,Forma Blueprint,,Lex Prime Receiver,3.35,Volt Prime Chassis Blueprint,11.5,Odonata Prime Blueprint,8.5,Volt Prime Neuroptics Blueprint,27.5,5.75,8.73
Axi V9 Relic,Axi,8.8,Valkyr Prime Blueprint,7.0,Saryn Prime Neuroptics Blueprint,11.5,Forma Blueprint,,Valkyr Prime Systems Blueprint,15.0,Spira Prime Blade,13.5,Venka Prime Gauntlet,24.5,8.31,11.23
Axi W1 Relic,Axi,8.3,Aksomati Prime Receiver,7.0,Stradavar Prime Receiver,6.5,Bronco Prime Receiver,3.6,Inaros Prime Blueprint,8.0,2X Forma Blueprint,,Wukong Prime Blueprint,25.0,5.71,6.95
Axi W2 Relic,Axi,14.5,Baza Prime Receiver,5.5,Forma Blueprint,,Tekko Prime Gauntlet,8.2,Bronco Prime Barrel,3.0,Inaros Prime Blueprint,8.0,Wukong Prime Blueprint,25.0,5.18,6.98
Axi W3 Relic,Axi,11.9,Forma Blueprint,,Baruuk Prime Systems Blueprint,8.0,Knell Prime Blueprint,4.0,Shade Prime Blueprint,5.5,Bronco Prime Barrel,3.0,Wisp Prime Blueprint,34.5,4.66,7.15
Axi W4 Relic,Axi,23.2,Fulmin Prime Barrel,4.3,Fang Prime Blade,2.5,Forma Blueprint,,Shade Prime Blueprint,5.5,Hildryn Prime Neuroptics Blueprint,7.0,Wisp Prime Blueprint,34.5,3.79,7.08
Axi Y1 Relic,Axi,4.7,Fang Prime Blueprint,1.75,Forma Blueprint,,Sevagoth Prime Neuroptics Blueprint,2.0,Paris Prime Upper Limb,2.2,Lavos Prime Blueprint,3.5,Yareli Prime Systems Blueprint,16.5,1.91,3.42
Axi Y2 Relic,Axi,2.0,Orthos Prime Handle,3.25,Kompressa Prime Blueprint,3.0,Fang Prime Blueprint,1.75,Akarius Prime Link,4.0,Epitaph Prime Barrel,3.5,Yareli Prime Neuroptics Blueprint,14.0,3.13,4.23
Axi Y3 Relic,Axi,4.25,Quassus Prime Handle,4.0,Burston Prime Receiver,3.5,Epitaph Prime Blueprint,5.5,Vadarya Prime Barrel,5.0,Sevagoth Prime Blueprint,8.0,Yareli Prime Neuroptics Blueprint,14.0,5.0,6.17
Axi Z1 Relic,Axi,11.7,Wukong Prime Neuroptics Blueprint,8.5,Forma Blueprint,,Panthera Prime Blueprint,5.5,Baza Prime Barrel,4.8,Zhuge Prime Blueprint,7.0,Zakti Prime Blueprint,22.5,5.29,6.94
Axi Z2 Relic,Axi,6.0,Lex Prime Blueprint,2.6,Gauss Prime Blueprint,6.5,Fulmin Prime Barrel,4.3,Acceltra Prime Receiver,4.0,Sevagoth Prime Blueprint,8.0,Zylok Prime Blueprint,12.0,4.95,5.83
Lith A1 Relic,Lith,18.33,Braton Prime Barrel,5.0,Forma Blueprint,,Vasto Prime Receiver,8.5,Saryn Prime Neuroptics Blueprint,11.5,Vectis Prime Blueprint,8.9,Akstiletto Prime Blueprint,13.7,5.94,7.7
Lith A10 Relic,Lith,3.4,Forma Blueprint,,Burston Prime Blueprint,2.95,Yareli Prime Chassis Blueprint,2.0,Paris Prime Grip,3.05,Xaku Prime Systems Blueprint,8.0,Akarius Prime Receiver,16.0,2.79,4.64
Lith A11 Relic,Lith,4.6,Zylok Prime Barrel,4.65,Paris Prime Lower Limb,2.15,Forma Blueprint,,Akarius Prime Link,4.0,Grendel Prime Chassis Blueprint,4.0,Acceltra Prime Barrel,14.0,2.88,4.13
Lith A12 Relic,Lith,,Forma Blueprint,,Burston Prime Receiver,3.5,Akbronco Prime Blueprint,2.7,Daikyu Prime Lower Limb,4.5,Xaku Prime Systems Blueprint,8.0,Alternox Prime Blueprint,8.5,3.12,4.38
Lith A2 Relic,Lith,5.0,Lex Prime Barrel,3.5,Forma Blueprint,,Valkyr Prime Blueprint,7.0,Akbronco Prime Link,3.5,Cernos Prime Blueprint,5.05,Akstiletto Prime Blueprint,13.7,3.87,4.83
Lith A3 Relic,Lith,4.4,Rubico Prime Receiver,4.6,Orthos Prime Handle,3.25,Lex Prime Blueprint,2.6,Akbolto Prime Barrel,9.0,Tiberon Prime Blueprint,6.8,Akjagara Prime Barrel,25.5,4.89,7.45
Lith A4 Relic,Lith,4.2,Corinth Prime Blueprint,3.8,Burston Prime Receiver,3.5,Forma Blueprint,,Ivara Prime Systems Blueprint,9.0,Baza Prime Barrel,4.8,Astilla Prime Barrel,24.5,3.86,6.43
Lith A5 Relic,Lith,5.0,Tekko Prime Gauntlet,8.2,Forma Blueprint,,Vasto Prime Barrel,9.0,Akstiletto Prime Barrel,11.5,Fang Prime Handle,2.0,Atlas Prime Neuroptics Blueprint,43.5,6.71,9.92
Lith A6 Relic,Lith,4.0,Masseter Prime Handle,3.2,Hildryn Prime Systems Blueprint,6.0,Bronco Prime Blueprint,3.0,2X Forma Blueprint,,Shade Prime Systems,6.0,Akarius Prime Receiver,16.0,4.07,4.83
Lith A7 Relic,Lith,8.0,Cedo Prime Stock,3.5,Sevagoth Prime Systems Blueprint,3.0,Nautilus Prime Carapace,7.0,Fulmin Prime Blueprint,6.5,Wisp Prime Neuroptics Blueprint,6.5,Akarius Prime Receiver,16.0,5.17,6.45
Lith A8 Relic,Lith,1.0,Bronco Prime Receiver,3.6,Braton Prime Barrel,5.0,Akbronco Prime Blueprint,2.7,Daikyu Prime Lower Limb,4.5,Masseter Prime Blueprint,4.0,Akarius Prime Receiver,16.0,4.12,5.18
Lith A9 Relic,Lith,27.0,Tatsu Prime Blueprint,4.1,Cobra & Crane Prime Hilt,5.0,Forma Blueprint,,Phantasma Prime Blueprint,4.8,Orthos Prime Blade,3.5,Afuris Prime Receiver,45.0,4.12,7.68
Lith B1 Relic,Lith,16.1,Mag Prime Neuroptics Blueprint,9.0,Ankyros Prime Blueprint,5.55,Forma Blueprint,,Rhino Prime Neuroptics Blueprint,10.0,Boltor Prime Receiver,4.0,Boar Prime Stock,39.0,6.01,9.13
Lith B10 Relic,Lith,15.2,Astilla Prime Receiver,7.5,Phantasma Prime Receiver,7.0,Forma Blueprint,,Strun Prime Barrel,7.5,Harrow Prime Neuroptics Blueprint,8.5,Baruuk Prime Blueprint,15.5,5.74,7.17
Lith B11 Relic,Lith,5.0,Akbronco Prime Blueprint,2.7,Knell Prime Blueprint,4.0,Lex Prime Blueprint,2.6,Braton Prime Blueprint,3.0,Harrow Prime Blueprint,6.0,Baruuk Prime Blueprint,15.5,3.66,4.9
Lith B2 Relic,Lith,5.0,Paris Prime Lower Limb,2.15,Tigris Prime Stock,6.5,Forma Blueprint,,Orthos Prime Blade,3.5,Braton Prime Receiver,4.0,Ballistica Prime Blueprint,34.5,3.71,6.39
Lith B3 Relic,Lith,6.4,Limbo Prime Systems Blueprint,6.5,Forma Blueprint,,Burston Prime Blueprint,2.95,Orthos Prime Blade,3.5,Cernos Prime String,8.5,Ballistica Prime Blueprint,34.5,4.4,7.43
Lith B4 Relic,Lith,4.6,Nyx Prime Blueprint,8.5,Forma Blueprint,,Ankyros Prime Blueprint,5.55,Rhino Prime Neuroptics Blueprint,10.0,Scindo Prime Blueprint,3.8,Boltor Prime Blueprint,12.0,5.32,6.3
Lith B5 Relic,Lith,8.0,Banshee Prime Neuroptics Blueprint,3.8,Lex Prime Receiver,3.35,Oberon Prime Chassis Blueprint,9.0,Orthos Prime Blade,3.5,Rubico Prime Stock,7.0,Ballistica Prime Blueprint,34.5,5.94,8.24
Lith B6 Relic,Lith,4.0,Lex Prime Barrel,3.5,Fang Prime Blueprint,1.75,Limbo Prime Systems Blueprint,6.5,Orthos Prime Blueprint,4.3,Redeemer Prime Blueprint,4.65,Ballistica Prime Blueprint,34.5,4.65,7.2
Lith B7 Relic,Lith,12.0,Lex Prime Receiver,3.35,Forma Blueprint,,Tipedo Prime Blueprint,5.0,Orthos Prime Blueprint,4.3,Aksomati Prime Barrel,11.0,Baza Prime Blueprint,9.5,3.99,5.4
Lith B8 Relic,Lith,4.6,Burston Prime Stock,2.0,Dethcube Prime Systems,7.0,Aksomati Prime Blueprint,4.35,Ivara Prime Blueprint,8.5,Atlas Prime Chassis Blueprint,7.0,Baza Prime Blueprint,9.5,5.28,6.28
Lith B9 Relic,Lith,,Oberon Prime Chassis Blueprint,9.0,Forma Blueprint,,Lex Prime Barrel,3.5,Silva & Aegis Prime Blueprint,8.1,Braton Prime Receiver,4.0,Baza Prime Stock,37.5,5.25,8.25
Lith C1 Relic,Lith,16.0,Fang Prime Blade,2.5,Nova Prime Neuroptics Blueprint,11.5,Nova Prime Systems Blueprint,11.5,Kavasa Prime Band,7.8,2X Forma Blueprint,,Carrier Prime Cerebrum,49.0,8.3,10.71
Lith C10 Relic,Lith,2.65,Masseter Prime Handle,3.2,Forma Blueprint,,Garuda Prime Blueprint,6.5,Khora Prime Chassis Blueprint,7.0,Nagantaka Prime Receiver,6.75,Cobra & Crane Prime Guard,13.5,4.24,5.72
Lith C11 Relic,Lith,3.0,Acceltra Prime Blueprint,3.0,Braton Prime Barrel,5.0,Gunsen Prime Blueprint,4.15,Fulmin Prime Stock,5.0,Phantasma Prime Blueprint,4.8,Cobra & Crane Prime Guard,13.5,4.43,5.34
Lith C12 Relic,Lith,4.3,Sevagoth Prime Systems Blueprint,3.0,Shade Prime Cerebrum,6.5,Okina Prime Blade,8.5,Fulmin Prime Stock,5.0,Grendel Prime Chassis Blueprint,4.0,Cobra & Crane Prime Guard,13.5,5.82,6.15
Lith C13 Relic,Lith,12.0,Bronco Prime Receiver,3.6,Forma Blueprint,,Gauss Prime Chassis Blueprint,6.5,Akbronco Prime Link,3.5,Dual Zoren Prime Blueprint,2.5,Caliban Prime Neuroptics Blueprint,11.0,3.44,3.98
Lith C14 Relic,Lith,3.2,Kestrel Prime Blade,3.5,Sevagoth Prime Systems Blueprint,3.0,Forma Blueprint,,Perigale Prime Receiver,3.5,Lavos Prime Blueprint,3.5,Cedo Prime Blueprint,7.0,2.56,3.18
